feature,mean_abs_shap
z_vol,0.086831376
bb_middle,0.06939434
bb_upper,0.036391485
vol_60d,0.028676761
atr_pct,0.028641926
mom_12m,0.027424578
bb_width,0.025331374
vol_trend,0.021653129
bb_lower,0.018452128
atr_14,0.016180126
price_zscore_200d,0.016170481
mom_6m,0.014478151
volume_std,0.013724653
mom_3m,0.011259221
mom_12_1,0.009427349
macd,0.009269308
macd_signal,0.007147896
alpha_combined,0.006388247
mean_rev_60d,0.0062502134
price_zscore_50d_z,0.0058063497
vol_20d,0.004721962
mom_1m,0.003992623
bb_mean_rev_z,0.0034824435
price_zscore_50d,0.0032970156
volume_trend,0.0021650046
mom_12_1_rank_z,0.0017265988
rsi_mean_rev_z,0.0014543558
macd_hist,0.0012132459
alpha_mean_reversion,0.0011530244
mom_12_1_rank,0.0011024866
mean_rev_20d,0.00108173
volume_ratio,0.0009823757
bb_pct,0.00083480176
volume_z,0.00035967375
rsi_14,0.00034949885
mom_6m_rank,0.0003278569
rsi_mean_rev,0.000287663
daily_range,0.00028674424
mom_1w,0.0002581287
gap_pct,0.00017320075
mom_3m_rank_pct,0.0001638864
mom_6m_rank_z,0.00015485284
price_zscore_20d,0.00015093751
bb_mean_rev,0.00013512623
alpha_momentum,7.491975e-05
mom_3m_rank_z,6.317277e-05
log_return,6.2162944e-05
close_position,5.5950364e-05
vol_rank,3.619293e-05
mom_1m_rank_pct,1.4366739e-05
mom_decile,0.0
mom_3m_rank,0.0
