feature,HIGH_VOL_importance,LOW_VOL_importance,difference
price_zscore_200d,0.04691179,0.00046009893,0.04645169
z_vol,0.12537655,0.09218169,0.033194862
mom_3m,0.029950025,0.0011811112,0.028768914
mean_rev_60d,0.015577254,0.0024916946,0.013085559
mom_6m,0.025985649,0.015853563,0.0101320855
price_zscore_50d,0.009484651,0.0004064118,0.009078239
bb_lower,0.01939166,0.011857008,0.007534652
vol_trend,0.030304499,0.022933306,0.007371193
mom_1m,0.0078981,0.0022458828,0.005652217
vol_20d,0.007222541,0.0043869046,0.0028356365
mean_rev_20d,0.0029949215,0.00020688651,0.002788035
volume_ratio,0.002486642,6.4118125e-05,0.002422524
rsi_mean_rev_z,0.0017767467,0.00023892564,0.001537821
alpha_mean_reversion,0.0016049168,0.00025120963,0.0013537072
volume_z,0.0010249952,0.0,0.0010249952
rsi_14,0.0009930087,5.5486602e-05,0.0009375221
volume_std,0.017026065,0.016088774,0.0009372905
price_zscore_50d_z,0.0009438493,7.823365e-05,0.0008656157
daily_range,0.00066478393,0.0,0.00066478393
rsi_mean_rev,0.0006575462,0.0,0.0006575462
price_zscore_20d,0.00045281256,0.0,0.00045281256
mom_6m_rank,0.000576665,0.0004069114,0.00016975359
log_return,0.00016601784,2.0470985e-05,0.00014554686
bb_pct,0.0012841156,0.0011430237,0.00014109188
vol_rank,0.000108578795,0.0,0.000108578795
close_position,6.680281e-05,0.0,6.680281e-05
mom_1m_rank_pct,2.8117583e-05,1.4982443e-05,1.3135141e-05
bb_mean_rev,0.00020691218,0.00019846726,8.4449275e-06
mom_3m_rank_z,0.0,0.0,0.0
mom_decile,0.0,0.0,0.0
mom_3m_rank,0.0,0.0,0.0
mom_6m_rank_z,0.0,0.0,0.0
mom_1w,0.00014758932,0.00025209333,-0.00010450401
gap_pct,0.00011982466,0.00027293977,-0.0001531151
mom_3m_rank_pct,0.0,0.00015343746,-0.00015343746
alpha_momentum,0.0,0.00022475923,-0.00022475923
macd_hist,0.0008502564,0.0015177331,-0.0006674767
bb_mean_rev_z,0.00020948531,0.002006674,-0.0017971887
alpha_combined,0.0,0.0019414057,-0.0019414057
mom_12_1_rank,0.0,0.003161271,-0.003161271
volume_trend,0.0007309558,0.0046307114,-0.0038997557
mom_12_1_rank_z,9.402219e-05,0.0050857738,-0.0049917516
vol_60d,0.010084993,0.020076731,-0.009991738
macd,0.008337322,0.01863689,-0.010299568
mom_12_1,0.004548243,0.019044608,-0.014496366
macd_signal,0.0012107848,0.0174713,-0.016260516
mom_12m,0.023383988,0.043755747,-0.02037176
atr_14,0.007933552,0.030605124,-0.022671573
atr_pct,0.023243228,0.05287637,-0.02963314
bb_width,0.0027118644,0.05871164,-0.055999774
bb_upper,0.002187081,0.06962162,-0.06743454
bb_middle,0.009965427,0.09640863,-0.0864432
